,number_of_rooms,area,storey_number,total_storey_number,price,district,complex_name,year,condition
13771,3,90.0,7,16,41000000,Есиль,Мисон,2010,евроремонт
13772,3,95.0,9,10,38000000,Есиль,,2018,евроремонт
13773,3,117.0,13,18,40000000,Алматы,Гранд Астана,2010,евроремонт
13774,2,77.3,6,7,25000000,Есиль,Аниса,2015,хорошее
13775,3,66.0,12,13,22500000,Алматы,Степной,2009,хорошее
13776,1,48.43,4,10,16000000,Алматы,Казанат,2020,евроремонт
13777,2,54.4,14,14,20500000,Алматы,Жасыл ел,2010,евроремонт
13778,1,46.2,2,9,15700000,Алматы,,2005,хорошее
13779,2,45.5,3,5,15500000,Алматы,,1987,хорошее
13780,3,43.6,4,5,26400000,Алматы,,2011,
13781,2,68.0,3,12,22500000,Сарыарка,,2009,
13782,4,220.0,4,21,110000000,Алматы,Хайвил Астана,2016,хорошее
13783,4,101.0,7,12,40000000,,Сармат,2012,хорошее
13784,1,37.0,7,10,14000000,Сарыарка,,2008,
13785,3,100.0,11,12,50000000,Есиль,BI City,2020,евроремонт
13786,3,68.0,9,10,21800000,Сарыарка,,2015,хорошее
13787,1,31.0,1,5,10400000,,,1987,евроремонт
13788,2,60.0,4,10,21000000,Сарыарка,,2008,хорошее
13789,2,50.0,1,5,15500000,Алматы,,1986,хорошее
13790,1,36.5,9,10,12500000,Сарыарка,,2014,хорошее
13791,4,143.0,4,9,90000000,Алматы,Лондон,2015,евроремонт
13792,4,189.4,,,95000000,Алматы,Хайвил Астана,2009,
13793,1,32.6,4,8,11500000,Алматы,Астана сәні,2018,
13794,5,410.0,17,20,205000000,Есиль,Каскад,2006,
13795,2,54.0,5,5,18000000,,,1987,хорошее
13796,2,50.0,8,9,18500000,Сарыарка,Старый город,2016,евроремонт
13797,3,90.0,3,9,30400000,,Дебют,2005,евроремонт
13798,3,90.0,2,9,33000000,Алматы,,2007,евроремонт
13799,3,102.0,,,33000000,Алматы,Анфилада,2006,евроремонт
13800,2,101.0,4,6,45000000,Алматы,Французский Квартал,2010,хорошее
13801,4,144.0,3,9,74000000,,Лондон,2016,черновая
13802,2,71.0,,,21500000,Алматы,Туркестан,2014,евроремонт
13803,2,72.0,9,20,23999999,,Мерей Интерконти,2010,хорошее
13804,2,60.0,,,24900000,,Байконыс,2012,хорошее
13805,1,39.2,11,12,14500000,Алматы,Турсын Астана,2012,хорошее
13806,1,35.0,10,10,12500000,Сарыарка,Эксклюзив,2017,хорошее
13807,3,76.4,2,9,25000000,Алматы,Достар,2011,среднее
13808,3,98.9,4,10,42000000,Алматы,,2008,хорошее
13809,1,37.1,1,5,11100000,Алматы,,1986,хорошее
13810,2,65.0,2,9,25000000,,,2018,евроремонт
13811,1,29.5,9,9,11300000,Есиль,Nova City,2016,евроремонт
13812,1,30.0,5,5,10000000,Сарыарка,,1991,хорошее
13813,3,59.0,4,5,25000000,Сарыарка,,1964,свободная
13814,1,40.0,6,9,17000000,Есиль,Аркада,2020,евроремонт
13815,2,63.0,5,9,23000000,Алматы,Евразия,2007,хорошее
13816,2,80.0,5,17,29000000,,Жаркын,2009,евроремонт
13817,3,97.37,9,10,35000000,Алматы,,2019,евроремонт
13818,3,107.0,7,9,35000000,Алматы,Анфилада,2006,хорошее
13819,1,41.0,2,5,15500000,Есиль,Family Town,2016,хорошее
13820,2,62.1,9,9,23000000,Есиль,,2016,хорошее
13821,1,35.0,5,5,13000000,Алматы,,1999,
13822,5,197.0,3,,88000000,Есиль,Арайлым,2008,
13823,4,176.0,2,9,71000000,Есиль,Арайлым,2011,
13824,3,110.0,16,21,62500000,Есиль,Astoria,2019,черновая
13825,1,13.0,2,5,4500000,Сарыарка,,1990,хорошее
13826,1,43.0,16,24,19700000,Есиль,Времена года.,2020,евроремонт
13827,1,51.7,3,9,17000000,Алматы,Степной,2006,хорошее
13828,1,25.0,2,5,6100000,Сарыарка,,1982,среднее
13829,1,38.8,7,9,11800000,Алматы,Меркурий,2017,
13830,5,173.0,9,11,68000000,Есиль,Life Park,2018,
13831,4,234.0,4,8,88000000,Есиль,Тулпар Элит,2015,
13832,2,44.6,7,15,15000000,Сарыарка,Торлет,2011,среднее
13833,3,90.0,3,4,46500000,Есиль,Bi Town,2018,евроремонт
13834,4,220.0,4,21,110000000,Алматы,Хайвил Астана,2016,
13835,5,221.0,6,6,150000000,Есиль,,2009,
13836,2,66.8,15,16,20800000,,Кампус,2016,хорошее
13837,1,41.1,4,7,14300000,Есиль,,2016,хорошее
13838,3,81.0,6,8,34000000,Есиль,Арнау,2016,
13839,3,78.0,9,11,35500000,Есиль,Коркем,2017,евроремонт
13840,2,44.1,5,5,13100000,Сарыарка,Ак Отау,2016,хорошее
13841,2,75.0,4,9,28500000,Есиль,Кен Дала,2019,
13842,3,93.5,9,10,43000000,Есиль,Manhattan,2016,евроремонт
13843,3,68.0,2,9,19800000,Алматы,,1990,хорошее
13844,3,80.0,9,18,41000000,Есиль,,2017,евроремонт
13845,3,61.0,3,6,20000000,,,1993,хорошее
13846,1,39.0,9,9,14500000,Есиль,Freedom,2021,черновая
13847,4,83.0,4,5,32000000,Сарыарка,,1982,хорошее
13848,3,103.0,6,9,23896000,Алматы,Сенатор Park,2021,черновая
13849,3,56.0,1,5,15500000,Сарыарка,,1991,хорошее
13850,2,57.0,5,16,21500000,Алматы,Достар,2012,евроремонт
13851,4,160.0,5,5,93900000,Есиль,,2011,евроремонт
13852,2,71.0,5,14,37500000,Есиль,Времена года.,2017,евроремонт
13853,2,56.4,14,14,22000000,Алматы,,2010,евроремонт
13854,3,63.0,10,10,22500000,Есиль,Нипи,2014,хорошее
13855,2,49.0,4,5,15000000,Алматы,,1990,среднее
13856,1,55.0,3,5,16000000,Сарыарка,Эксклюзив,2015,хорошее
13857,3,60.0,5,5,17000000,Алматы,,1970,евроремонт
13858,3,142.0,9,10,55000000,Есиль,Версаль,2011,евроремонт
13859,2,75.0,2,6,41000000,Алматы,Итальянский квартал,2016,евроремонт
13860,2,58.9,2,6,20000000,Алматы,,2016,хорошее
13861,1,40.0,4,12,13900000,Есиль,Sezim Qala,2021,
13862,3,78.0,5,5,25000000,Алматы,,2016,хорошее
13863,4,84.0,3,4,22000000,Сарыарка,,1994,хорошее
13864,3,60.0,4,5,22000000,Алматы,,1985,евроремонт
13865,2,80.9,14,22,27000000,Алматы,Гранд Астана,2011,хорошее
13866,3,78.0,8,9,27000000,Алматы,,2011,евроремонт
13867,4,170.0,3,10,90000000,Есиль,Нурсая,2007,евроремонт
13868,2,58.0,8,16,12200000,,,2020,черновая
13869,1,48.2,5,9,16000000,Алматы,Аврора,2005,среднее
13870,1,13.0,4,5,4000000,Алматы,,1960,
13871,2,96.0,2,18,40000000,Алматы,Гранд Астана,2008,евроремонт
13872,3,97.0,25,34,51000000,Алматы,,2014,хорошее
13873,1,33.0,5,7,8400000,Алматы,,2016,черновая
13874,2,71.0,5,9,35000000,Есиль,Park Avenue,2015,евроремонт
13875,2,68.0,2,9,21900000,Есиль,,2014,хорошее
13876,3,101.0,2,9,45000000,Есиль,,2006,
13877,4,118.0,11,16,39990000,Алматы,Абай на,2008,среднее
13878,1,43.7,9,10,17000000,Есиль,,2020,черновая
13879,1,38.3,4,5,11000000,Алматы,Сункар,2015,хорошее
13880,2,42.0,3,5,14000000,Сарыарка,,1968,хорошее
13881,3,76.31,1,9,20000000,Сарыарка,,2020,черновая
13882,1,18.6,2,4,6000000,,,1972,хорошее
13883,4,124.0,,,70000000,Есиль,Dream City,2018,евроремонт
13884,1,37.6,2,9,8999900,Алматы,,2020,среднее
13885,2,45.0,2,5,15000000,Сарыарка,,1975,требует
13886,2,80.0,8,17,25000000,,Гранитный,2015,
13887,3,114.0,10,10,35000000,Есиль,Нур Канат,2011,евроремонт
13888,3,103.0,6,12,31000000,Алматы,По Тулебаева,2020,черновая
13889,2,45.0,4,5,16000000,Алматы,,1984,хорошее
13890,2,50.0,5,5,16000000,Алматы,,1982,хорошее
13891,2,63.7,10,10,17000000,,Эльбрус,2020,черновая
13892,1,34.0,2,9,11500000,Алматы,Жасмин,2017,хорошее
13893,2,30.0,2,4,6000000,Есиль,,2016,евроремонт
13894,1,38.0,5,9,11500000,Сарыарка,Гарант,2020,черновая
13895,3,145.0,2,17,81000000,Алматы,Хайвил Астана,2014,евроремонт
13896,3,90.5,7,12,27000000,Сарыарка,,2012,евроремонт
13897,2,66.0,5,5,22000000,Есиль,ЮГ,2014,евроремонт
13898,2,101.0,4,6,45000000,Алматы,,2010,хорошее
13899,3,92.0,5,9,31000000,,Данияр,2004,хорошее
13900,3,92.0,5,9,31000000,,Данияр,2004,хорошее
13901,1,28.5,5,5,10500000,Алматы,,1964,среднее
13902,2,45.1,1,5,12000000,Алматы,,1987,хорошее
13903,1,36.4,14,16,14800000,,Nova City,2020,хорошее
13904,1,63.0,22,42,37000000,,Grand Alatau,2010,хорошее
13905,3,148.0,3,13,49000000,Алматы,Теремок,2013,евроремонт
13906,2,50.0,7,17,18000000,,Жаркын,2009,хорошее
13907,3,153.0,3,6,99000000,Есиль,Europe Рalace,2014,евроремонт
13908,2,57.9,2,16,21000000,,Достар,2011,хорошее
13909,2,37.0,4,6,12000000,Есиль,Экодом,2018,евроремонт
13910,1,20.0,4,5,8300000,Алматы,Солнечный город,2010,хорошее
13911,3,95.0,8,23,33000000,,Москва,2008,требует
13912,3,120.0,26,33,45500000,Есиль,Триумф Астаны,2008,
13913,1,36.11,11,17,13700000,,Alau,2021,
13914,1,29.4,3,6,11500000,Алматы,Шеркала,2020,евроремонт
13915,2,66.0,8,9,25000000,Есиль,,2016,хорошее
13916,1,49.0,9,13,14000000,,,2017,хорошее
13917,3,111.0,6,8,53500000,Есиль,,2016,хорошее
13918,3,80.0,9,18,42000000,Есиль,,2017,евроремонт
13919,1,36.13,20,24,15500000,Есиль,Времена года.,2021,черновая
13920,3,97.0,14,16,26400000,Алматы,,2011,хорошее
13921,2,100.0,5,5,30000000,Алматы,,2001,хорошее
13922,1,41.92,6,10,12500000,Сарыарка,,2020,черновая
13923,2,55.0,8,9,25000000,Есиль,,2010,евроремонт
13924,2,67.32,2,9,21000000,Есиль,Brussels,2021,черновая
13925,4,73.3,3,5,25000000,Алматы,,1992,среднее
13926,1,30.0,3,5,7250000,,,1986,среднее
13927,5,163.0,20,37,57500000,Сарыарка,Grand Alatau,2012,евроремонт
13928,3,106.0,5,6,26300000,Сарыарка,Эксклюзив,2016,евроремонт
13929,1,29.0,6,6,7000000,Сарыарка,,2018,евроремонт
13930,1,43.0,3,9,17000000,Алматы,Казанат,2018,хорошее
13931,4,141.0,4,12,67000000,Алматы,Айнаколь,2018,хорошее
13932,1,42.91,12,21,14500000,,Томирис,2020,черновая
13933,3,71.0,18,18,25000000,Алматы,Томирис,2020,черновая
13934,2,55.0,7,10,20000000,,,2020,черновая
13935,3,85.0,4,9,30500000,Есиль,Градкомплекс,2006,хорошее
13936,3,77.0,1,5,24400000,Алматы,,2017,хорошее
13937,2,66.7,2,6,22000000,Алматы,,2009,евроремонт
13938,1,54.0,6,9,17000000,Сарыарка,Аль Арка,2011,евроремонт
13939,1,17.6,5,5,5500000,,,1995,требует
13940,1,37.0,3,6,12500000,Алматы,,1983,требует
13941,2,54.0,,,20900000,Алматы,,2006,евроремонт
13942,3,92.0,4,11,29000000,Алматы,,2004,евроремонт
13943,3,59.0,1,6,21500000,Алматы,,1998,евроремонт
13944,1,52.0,9,10,16300000,Алматы,Жасыл Астана,2020,черновая
13945,2,58.0,6,9,22000000,Есиль,Техникум,2017,евроремонт
13946,2,85.0,21,22,35000000,,Триумф Астаны,2006,евроремонт
13947,2,76.0,10,10,30000000,Есиль,Дипломат,2006,хорошее
13948,2,55.0,6,7,19500000,Есиль,,2015,евроремонт
13949,1,31.0,4,5,10200000,,,1972,
13950,1,37.0,13,17,14500000,Есиль,,2021,черновая
13951,1,39.0,9,15,15000000,Сарыарка,Талапкерский,2010,хорошее
13952,3,95.0,7,12,43000000,Есиль,Дипломат,2005,хорошее
13953,3,74.0,3,9,26000000,Сарыарка,,2012,евроремонт
13954,2,50.0,6,6,16500000,Алматы,,2002,хорошее
13955,1,34.8,5,10,19000000,Есиль,Мәңгілік,2019,евроремонт
13956,2,71.0,5,7,35800000,Есиль,Panorama Park,2020,евроремонт
13957,1,44.56,7,10,15000000,Алматы,Казанат,2020,евроремонт
13958,1,42.0,6,12,16999000,Есиль,BI City,2021,черновая
13959,2,45.5,1,2,10000000,Алматы,,1980,хорошее
13960,2,66.4,20,21,24000000,Есиль,,2018,черновая
13961,1,37.1,1,5,11500000,,,1996,хорошее
13962,1,44.5,8,9,11000000,Сарыарка,Техникум,2021,черновая
13963,2,70.0,1,7,22500000,Алматы,Спутник,2019,евроремонт
13964,3,67.0,3,3,19750000,Сарыарка,,1991,хорошее
13965,2,63.1,3,9,56290000,,Лондон,2015,евроремонт
13966,1,43.0,11,17,13000000,,Ак Шанырак,2017,черновая
13967,1,40.0,9,9,14800000,,Freedom,2021,черновая
13968,8,318.0,6,7,125000000,Есиль,Castle House,2014,черновая
13969,3,90.0,,,55000000,Алматы,Хайвил Астана,2016,евроремонт
13970,1,62.0,6,20,19000000,Алматы,Гранд Астана,2010,хорошее
13971,4,127.0,3,9,43000000,Есиль,Театральный,2020,черновая
13972,2,57.4,9,13,18000000,Алматы,Степной,2009,хорошее
13973,3,67.0,4,12,22000000,Алматы,,2014,хорошее
13974,3,68.0,3,5,19300000,Алматы,,1991,среднее
13975,2,50.0,1,4,13500000,Сарыарка,,1974,хорошее
13976,2,51.0,9,9,17399000,Алматы,Кайнар,2001,среднее
13977,1,43.7,6,9,16600000,Алматы,Нипи,2011,евроремонт
13978,2,50.0,4,5,12500000,Сарыарка,,1974,среднее
13979,1,39.4,2,5,14500000,Алматы,,1986,евроремонт
13980,5,286.0,5,5,270000000,Есиль,KingHouse,2015,евроремонт
13981,2,48.8,8,8,23500000,Есиль,Камал,2018,евроремонт
13982,1,49.0,2,10,18000000,,Бейбарыс,2020,евроремонт
13983,1,38.0,2,3,9120000,Алматы,,2020,черновая
13984,3,78.0,1,9,27000000,Алматы,,2017,евроремонт
13985,3,61.0,2,5,16300000,Сарыарка,,1982,требует
13986,1,54.9,6,8,22300000,Есиль,Венский квартал,2016,евроремонт
13987,1,38.0,6,9,13100000,Есиль,Sezim Qala,2020,черновая
13988,3,59.0,2,5,20000000,Сарыарка,,1972,среднее
13989,4,151.2,11,12,50000000,Сарыарка,Бурлин,2008,евроремонт
13990,4,180.0,4,11,77999999,Есиль,Caspian Palace,2012,евроремонт
13991,1,40.0,9,12,14500000,Алматы,,2012,хорошее
13992,2,107.0,1,5,17000000,Алматы,,1987,хорошее
13993,1,21.0,2,5,7200000,Алматы,Ырыс,2007,среднее
13994,2,74.8,8,9,32000000,Есиль,Арман кала,2014,хорошее
13995,1,44.0,14,23,17000000,Есиль,Алтын Шар,2016,хорошее
13996,3,100.0,10,12,26000000,Сарыарка,Тамыз,2007,
13997,2,47.3,10,14,16500000,Сарыарка,Кутты Мекен,2019,хорошее
13998,4,121.0,11,13,55000000,Есиль,Айсанам,2015,евроремонт
13999,3,90.6,5,16,35000000,Алматы,Сенатор,2017,евроремонт
14000,2,75.8,7,18,27000000,Алматы,Жайна,2015,хорошее
14001,3,95.0,12,20,40000000,Есиль,Лазурный квартал,2014,евроремонт
14002,1,35.0,6,6,8900000,Сарыарка,,1991,хорошее
14003,1,45.0,5,10,15500000,Алматы,Казанат,2020,
14004,1,39.0,9,13,16500000,Алматы,Nur Aspan,2016,евроремонт
14005,3,88.0,20,23,31500000,Сарыарка,Симфония,2009,хорошее
14006,1,35.0,5,9,9500000,,,2019,черновая
14007,3,89.0,5,5,24600000,Алматы,,1989,евроремонт
14008,1,40.0,8,12,15000000,Есиль,Кулагер,2014,евроремонт
14009,2,114.0,5,7,100000000,Алматы,Pioneer,2017,
14010,1,37.4,9,9,12000000,,,1984,требует
14011,2,55.0,5,10,16000000,Сарыарка,,2015,евроремонт
14012,3,71.0,18,18,25000000,Алматы,,2013,хорошее
14013,3,90.4,2,6,29000000,Алматы,,2015,хорошее
14014,2,69.0,12,16,25000000,,Кампус,2013,евроремонт
14015,2,51.0,5,17,17000000,,Махаббат,2015,хорошее
14016,3,101.0,4,8,43000000,Есиль,Асем Тас,2015,евроремонт
14017,1,43.6,3,7,15000000,Есиль,Family Park,2020,черновая
14018,2,67.0,9,14,23500000,Есиль,,2017,черновая
14019,1,50.0,17,23,16500000,,,2015,евроремонт
14020,2,58.0,15,15,23500000,,Жар Жар,2011,хорошее
14021,2,48.0,5,5,14500000,Сарыарка,,1962,среднее
14022,2,58.7,4,6,16500000,Алматы,,2015,требует
14023,2,67.1,4,5,18200000,Алматы,,2008,хорошее
14024,2,65.6,2,10,22000000,Алматы,Достык,2010,хорошее
14025,2,58.3,5,12,20000000,Алматы,Турсын Астана,2011,евроремонт
14026,1,50.0,4,9,13500000,Сарыарка,,2012,среднее
14027,2,84.0,2,12,25500000,Алматы,12 месяцев,2018,черновая
14028,3,71.0,6,10,23000000,Сарыарка,,2013,евроремонт
14029,4,121.0,7,9,41000000,Сарыарка,Астана недвижимость,2002,евроремонт
14030,2,80.0,9,17,25500000,,Гранитный,2016,хорошее
14031,2,77.0,10,12,31000000,Алматы,,2017,евроремонт
14032,2,61.6,7,12,20000000,,,2016,хорошее
14033,3,80.0,4,9,36500000,Алматы,Жайна,2014,евроремонт
14034,1,56.0,8,9,16500000,Алматы,Меретти,2007,хорошее
14035,3,80.0,4,9,38000000,,Akbulak Town,2014,евроремонт
14036,3,60.0,5,5,18000000,Сарыарка,,1980,евроремонт
14037,3,101.85,3,9,30000000,Алматы,Эльбрус,2020,требует
14038,5,204.0,10,12,80000000,Сарыарка,Бурлин,2006,
14039,1,39.0,8,8,12500000,Есиль,Экодом,2018,евроремонт
14040,3,124.0,9,14,70000000,Есиль,Алтын Орда,2010,евроремонт
14041,3,86.0,3,6,28000000,Алматы,,2006,евроремонт
14042,4,150.0,5,16,51000000,Есиль,Памир,2018,евроремонт
14043,2,70.0,6,7,25000000,Алматы,,2007,хорошее
14044,1,35.8,8,9,17000000,Есиль,Аркада,2020,евроремонт
14045,5,200.0,10,12,74000000,Алматы,Бейбарыс,2017,евроремонт
14046,3,98.0,5,21,41000000,Есиль,Лазурный квартал,2012,евроремонт
14047,2,73.6,8,10,25000000,,Туран,2012,хорошее
14048,3,101.9,4,7,42999000,Есиль,,2016,хорошее
14049,1,40.0,10,25,14200000,Алматы,Эгалите,2012,евроремонт
14050,2,77.6,8,9,25000000,Сарыарка,Максат,2005,хорошее
14051,2,67.0,10,12,37000000,,Akbulak Life,2019,евроремонт
14052,3,85.1,10,10,41000000,Есиль,Manhattan,2019,евроремонт
14053,3,111.4,13,13,45000000,Сарыарка,Сана,2007,евроремонт
14054,2,68.11,6,8,31000000,,Atlant,2022,
14055,2,47.0,2,13,17200000,Алматы,,2017,евроремонт
14056,1,39.2,3,8,16500000,Есиль,,2020,евроремонт
14057,4,147.0,9,17,43500000,,Сан сити,2008,хорошее
14058,2,55.5,3,9,19900000,Есиль,College,2020,черновая
14059,5,260.8,5,6,73000000,,Ак Орда,2004,
14060,3,90.0,4,8,39500000,,,2017,
14061,2,62.86,4,9,13514900,Алматы,Sancy,2022,
14062,2,64.0,3,6,25500000,Есиль,Comfort Town,2015,евроремонт
14063,3,90.8,2,4,29990000,Сарыарка,,1994,евроремонт
14064,2,50.0,4,9,21500000,Есиль,Арман кала,2014,хорошее
14065,1,39.9,4,9,14200000,Алматы,,2006,хорошее
14066,2,76.2,1,13,25000000,,Турсын Астана,2010,евроремонт
14067,2,62.2,3,9,20000000,,,2011,евроремонт
14068,2,45.0,1,5,12000000,Сарыарка,,1965,евроремонт
14069,2,65.0,5,9,16300000,,Алтын Отау,2018,требует
14070,3,80.0,7,8,38500000,Есиль,Арнау,2020,евроремонт
14071,3,94.0,11,13,28800000,,Хан Тенгри,2012,евроремонт
14072,1,45.0,3,15,19000000,Алматы,Сенатор,2017,евроремонт
14073,2,55.0,1,6,18000000,Сарыарка,,2010,хорошее
14074,1,20.0,7,9,8800000,Сарыарка,Айка,2013,хорошее
14075,3,75.5,9,12,35000000,,BI City,2021,черновая
14076,1,39.3,4,8,15500000,Алматы,Астана сәні,2019,хорошее
14077,2,77.9,5,9,27500000,Сарыарка,Баян Сулу,2015,хорошее
14078,2,86.0,6,18,36000000,Есиль,,2009,хорошее
14079,2,60.0,2,14,32000000,Есиль,Коркем,2019,
14080,2,50.2,4,9,18000000,Сарыарка,,2011,хорошее
14081,1,21.0,7,10,10500000,Сарыарка,Ак Тилек,2016,евроремонт
14082,1,41.0,5,12,18500000,Есиль,Nova City,2019,евроремонт
14083,2,43.0,4,5,14350000,Алматы,,1970,хорошее
14084,1,37.0,9,9,8800000,Есиль,Сатурн,2021,
14085,3,136.0,2,7,55000000,Алматы,Аулие Ата,2018,евроремонт
14086,3,80.0,13,19,42000000,Алматы,Millennium Park,2015,хорошее
14087,2,71.0,1,9,27000000,Алматы,Турсын Астана,2011,евроремонт
14088,1,47.2,3,9,16700000,Алматы,Жасмин,2015,евроремонт
14089,4,154.0,4,8,100000000,Есиль,Триумфальный,2015,черновая
14090,2,57.0,7,12,22000000,Алматы,,2011,евроремонт
14091,1,39.0,,,13000000,Есиль,Brussels,2021,
14092,2,62.5,14,14,25000000,,Tau Tengri,2020,требует
14093,1,41.0,3,3,17500000,Алматы,Millennium Park,2018,евроремонт
14094,4,120.0,9,12,66500000,Есиль,Дипломат,2011,евроремонт
14095,1,30.0,6,13,9749900,Сарыарка,Торлет,2015,евроремонт
14096,2,60.0,5,16,17500000,Алматы,Достар,2007,среднее
14097,2,73.0,12,19,26500000,Алматы,Алтын Гасыр,2010,хорошее
14098,4,155.0,9,10,68000000,Есиль,Нурсая,2007,евроремонт
14099,3,70.0,5,6,20000000,Алматы,,1996,
14100,3,108.0,6,9,40000000,Алматы,Север VS,2015,
14101,3,83.8,4,10,25000000,,Аль Арка,2011,хорошее
14102,3,56.0,5,5,16500000,Сарыарка,,1970,хорошее
14103,2,78.8,5,8,41000000,,Grand Opera,2020,черновая
14104,4,147.0,9,17,43500000,,Сан сити,2008,евроремонт
14105,1,44.0,7,12,14000000,Сарыарка,Формула успеха,2010,
14106,3,76.0,15,24,23500000,Алматы,Байконур,2011,евроремонт
14107,2,59.2,7,9,19500000,Есиль,Ару Кала,2021,черновая
14108,1,40.0,9,9,15900000,Есиль,Арнау,2016,евроремонт
14109,2,53.0,5,9,23000000,Есиль,Ак Дидар,2019,евроремонт
14110,2,52.0,8,10,20000000,Сарыарка,,2012,хорошее
14111,1,52.0,8,24,16500000,Алматы,Алтын Гасыр,2008,среднее
14112,3,83.0,3,8,36000000,Есиль,,2016,евроремонт
14113,1,51.0,9,14,24500000,Есиль,На Водно,2010,хорошее
14114,1,38.54,7,8,12500000,Алматы,Алтын Отау,2020,евроремонт
14115,3,100.0,1,9,32000000,Алматы,Факультет,2008,хорошее
14116,2,61.0,5,12,18500000,Сарыарка,,2020,черновая
14117,1,50.0,4,9,16500000,Сарыарка,Максат,2008,хорошее
14118,2,53.0,2,7,24500000,Есиль,Promenade Expo,2016,евроремонт
14119,2,73.0,5,18,20300000,,,2013,хорошее
14120,2,45.0,1,4,13300000,Сарыарка,,1964,среднее
14121,1,46.0,9,10,13500000,Алматы,Сарыколь,2017,черновая
14122,3,90.0,3,3,22500000,Алматы,,2016,евроремонт
14123,3,76.0,7,10,23300000,Алматы,,2012,хорошее
14124,3,130.0,3,9,45000000,Сарыарка,,1998,евроремонт
14125,2,60.0,8,16,33000000,,Светлый,2012,евроремонт
14126,1,34.0,3,6,11000000,Сарыарка,,2011,евроремонт
14127,1,33.8,7,9,15500000,Есиль,Sport City,2020,
14128,3,95.9,4,9,35000000,Есиль,Алтын Шар,2018,евроремонт
14129,5,160.0,3,22,69000000,Алматы,7 Континент,2014,среднее
14130,2,86.0,,,35000000,Есиль,Caspian Palace,2012,
14131,3,92.0,8,8,25000000,Алматы,,2020,
14132,2,83.4,1,6,60000000,Есиль,Оркен де,2013,евроремонт
14133,1,38.1,2,14,14500000,Есиль,Алтын Шар,2017,
14134,3,74.5,4,9,27000000,Алматы,Достар,2011,хорошее
14135,3,105.0,4,8,45000000,Есиль,,2020,черновая
14136,2,57.0,2,9,19500000,Алматы,Достар,2012,хорошее
14137,1,25.0,4,5,8500000,,,2020,евроремонт
14138,2,60.9,8,9,25000000,Есиль,College,2020,
14139,1,56.0,,,24000000,Есиль,Триумф Астаны,2009,хорошее
14140,1,56.0,12,13,23000000,Есиль,Дипломат,2009,евроремонт
14141,1,45.0,9,9,16000000,Алматы,,2009,хорошее
14142,2,37.0,1,5,12300000,,,1979,среднее
14143,1,42.7,7,9,11956000,Есиль,Камшат,2020,черновая
14144,3,90.0,2,9,33000000,Алматы,,2004,хорошее
14145,2,60.0,3,5,18000000,Сарыарка,,2007,хорошее
14146,2,70.0,7,14,23500000,Есиль,Радуга,2007,хорошее
14147,2,59.0,6,9,33000000,Есиль,,2009,евроремонт
14148,2,58.0,8,10,22500000,Сарыарка,Ak bars,2021,
14149,4,100.0,9,9,37000000,Есиль,Сауран,2012,евроремонт
14150,2,68.0,2,9,27000000,Есиль,Есиль,2014,евроремонт
14151,2,79.3,3,12,26000000,Алматы,Турсын Астана,2012,евроремонт
14152,4,256.0,2,5,120000000,Есиль,,2014,евроремонт
14153,2,60.0,10,11,17000000,Алматы,,2015,среднее
14154,2,73.79,12,12,24600000,Есиль,Capital Park,2022,черновая
14155,1,18.0,1,4,6000000,Сарыарка,,2017,хорошее
14156,4,135.0,5,16,43900000,Есиль,,2019,евроремонт
14157,1,28.0,9,9,10500000,Алматы,Жигер,2014,хорошее
14158,4,87.6,5,17,36000000,Есиль,Esil Plaza,2020,черновая
14159,2,86.0,11,18,30800000,,7 Континент,2008,евроремонт
14160,1,56.0,8,12,17000000,Сарыарка,Сайран,2010,евроремонт
14161,1,36.0,9,,13800000,Есиль,,2014,
14162,1,45.0,19,21,25000000,Есиль,Atlant,2021,черновая
14163,1,42.5,2,10,14000000,Алматы,,2005,хорошее
14164,3,85.0,2,20,34500000,Алматы,Millennium Park,2015,хорошее
14165,2,82.3,5,9,37000000,Алматы,Тарлан,2017,евроремонт
14166,2,58.0,8,16,12200000,Сарыарка,,2021,черновая
14167,2,61.3,1,9,18500000,Сарыарка,,2012,хорошее
14168,3,95.5,12,18,40000000,Сарыарка,,2016,евроремонт
14169,3,63.1,3,6,20000000,Есиль,,1990,евроремонт
14170,3,100.0,3,3,36500000,Есиль,,2000,евроремонт
14171,1,32.0,,,13500000,,Жар Жар,2010,
14172,2,43.4,5,5,11999000,,,1962,среднее
14173,4,142.3,7,13,79000000,,Нурсая Бонита,2007,
14174,7,207.0,6,6,83000000,,Венский квартал,2017,
14175,4,79.0,1,9,25000000,Алматы,,1993,среднее
14176,1,20.0,3,5,9000000,Алматы,Солнечный город,2011,среднее
14177,2,54.0,7,9,19500000,Алматы,,2004,среднее
14178,3,92.0,13,18,30000000,Сарыарка,Европейский,2009,хорошее
14179,3,67.0,3,8,31000000,Алматы,Viva Grand,2019,евроремонт
14180,2,63.0,2,12,28000000,Есиль,Мәңгілік,2019,черновая
14181,2,78.0,4,9,29500000,,Туран,2012,хорошее
14182,3,100.0,14,14,32000000,Есиль,Номад,2010,хорошее
14183,2,76.0,2,5,27000000,,,2008,
14184,3,108.0,1,5,55000000,Алматы,Лондон,2015,среднее
14185,2,45.0,4,9,15500000,Есиль,Nova City,2021,черновая
14186,2,41.8,2,5,8000000,Есиль,,1962,черновая
14187,1,40.0,9,9,14000000,,Жастар,2010,хорошее
